,No.overall,No. inseason,Directed by,viewers(millions),story_writer,teleplay_writer,season,Penny,Howard,Sheldon,Leonard,Raj,Bernadette,Amy,Ave_length,imdb_rating_count,imdb_rating
176,177,18,Mark Cendrowski,18.13, Steven Molaro & Maria Ferrari & Jeremy Howe, Steven Molaro & Maria Ferrari & Jeremy Howe,8,24.0,30.0,58.0,42.0,15.0,21.0,28.0,11.680161943319838,2312,7.4
177,178,19,Mark Cendrowski,16.89, Jim Reynolds & Tara Hernandez & Jeremy Howe, Jim Reynolds & Tara Hernandez & Jeremy Howe,8,15.0,23.0,57.0,48.0,11.0,22.0,15.0,13.39819004524887,2327,7.6
178,179,20,Mark Cendrowski,16.78, Jim Reynolds & Saladin Patterson & Tara Hernandez, Jim Reynolds & Saladin Patterson & Tara Hernandez,8,29.0,26.0,35.0,40.0,18.0,11.0,27.0,11.779527559055119,2305,7.5
179,180,21,Mark Cendrowski,16.02, Dave Goetsch & Steve Holland & Jeremy Howe, Dave Goetsch & Steve Holland & Jeremy Howe,8,30.0,32.0,46.0,44.0,45.0,18.0,2.0,12.524590163934427,2264,7.1
180,181,22,Anthony Rich,16.63, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo,8,28.0,43.0,40.0,32.0,33.0,8.0,3.0,12.265765765765765,2303,7.3
181,182,23,Anthony Rich,15.85, Steven Molaro & Tara Hernandez & Jeremy Howe, Steven Molaro & Tara Hernandez & Jeremy Howe,8,22.0,9.0,35.0,35.0,7.0,6.0,4.0,12.492957746478874,2342,7.6
182,183,24,Mark Cendrowski,17.64, Chuck Lorre & Jim Reynolds & Maria Ferrari, Chuck Lorre & Jim Reynolds & Maria Ferrari,8,67.0,21.0,45.0,54.0,20.0,19.0,12.0,9.985663082437275,2752,8.0
183,184,1,Mark Cendrowski,18.2, Chuck Lorre & Jim Reynolds & Maria Ferrari, Chuck Lorre & Jim Reynolds & Maria Ferrari,9,59.0,10.0,63.0,56.0,5.0,12.0,24.0,10.33695652173913,3077,6.8
184,185,2,Mark Cendrowski,17.23, Steven Molaro & Steve Holland & Tara Hernandez, Steven Molaro & Steve Holland & Tara Hernandez,9,36.0,16.0,41.0,57.0,14.0,9.0,23.0,12.693333333333333,2561,7.4
185,186,3,Mark Cendrowski,17.4, Dave Goetsch & Jim Reynolds & Jeremy Howe, Dave Goetsch & Jim Reynolds & Jeremy Howe,9,67.0,31.0,38.0,27.0,24.0,24.0,27.0,11.173076923076923,2604,7.8
186,187,4,Mark Cendrowski,16.96, Chuck Lorre & Steve Holland & Eric Kaplan, Chuck Lorre & Steve Holland & Eric Kaplan,9,21.0,27.0,40.0,21.0,35.0,12.0,8.0,13.190243902439024,2437,7.5
187,188,5,Mark Cendrowski,17.68, Chuck Lorre & Eric Kaplan & Maria Ferrari, Chuck Lorre & Eric Kaplan & Maria Ferrari,9,16.0,17.0,51.0,32.0,13.0,15.0,22.0,11.786046511627907,2359,7.5
188,189,6,Mark Cendrowski,18.32, Steve Holland & Maria Ferrari & Anthony Del Broccolo, Steve Holland & Maria Ferrari & Anthony Del Broccolo,9,21.0,11.0,67.0,62.0,12.0,16.0,12.0,11.590909090909092,2412,7.2
189,190,7,Nikki Lorre,18.81, Chuck Lorre & Jim Reynolds & Tara Hernandez, Chuck Lorre & Jim Reynolds & Tara Hernandez,9,27.0,33.0,45.0,25.0,12.0,26.0,0.0,12.906103286384976,2484,8.0
190,191,8,Mark Cendrowski,17.92, Steven Molaro & Eric Kaplan & Jim Reynolds, Steven Molaro & Eric Kaplan & Jim Reynolds,9,33.0,23.0,37.0,22.0,22.0,23.0,33.0,11.461224489795919,2504,8.0
191,192,9,Mark Cendrowski,18.19, Jim Reynolds & Jeremy Howe & Tara Hernandez, Jim Reynolds & Jeremy Howe & Tara Hernandez,9,34.0,27.0,46.0,35.0,11.0,12.0,41.0,12.036437246963562,2440,7.9
192,193,10,Mark Cendrowski,19.27, Eric Kaplan & Jim Reynolds & Saladin K. Patterson, Eric Kaplan & Jim Reynolds & Saladin K. Patterson,9,19.0,28.0,37.0,25.0,27.0,12.0,29.0,13.23394495412844,2826,8.4
193,194,11,Mark Cendrowski,18.23, Steven Molaro & Eric Kaplan & Tara Hernandez, Steven Molaro & Eric Kaplan & Tara Hernandez,9,23.0,14.0,67.0,22.0,15.0,15.0,32.0,10.533596837944664,4370,9.1
194,195,12,Mark Cendrowski,17.85, Steve Holland & Jim Reynolds & Saladin K. Patterson, Steve Holland & Jim Reynolds & Saladin K. Patterson,9,28.0,29.0,50.0,29.0,33.0,23.0,12.0,11.434615384615384,2234,7.5
195,196,13,Mark Cendrowski,16.75, Chuck Lorre & Eric Kaplan & Dave Goetsch, Chuck Lorre & Eric Kaplan & Dave Goetsch,9,22.0,14.0,77.0,35.0,21.0,9.0,17.0,11.452282157676349,2245,7.5
196,197,14,Mark Cendrowski,17.29, Chuck Lorre & Jim Reynolds & Maria Ferrari, Chuck Lorre & Jim Reynolds & Maria Ferrari,9,16.0,22.0,47.0,17.0,38.0,12.0,31.0,11.75968992248062,2260,7.6
197,198,15,Mark Cendrowski,18.25, Steven Molaro & Jim Reynolds & Tara Hernandez, Steven Molaro & Jim Reynolds & Tara Hernandez,9,34.0,27.0,28.0,39.0,23.0,20.0,31.0,11.144578313253012,2230,7.6
198,199,16,Mark Cendrowski,19.06, Eric Kaplan & Jim Reynolds & Saladin K. Patterson, Eric Kaplan & Jim Reynolds & Saladin K. Patterson,9,29.0,41.0,30.0,37.0,22.0,34.0,21.0,11.915611814345992,2304,7.5
199,200,17,Mark Cendrowski,18.94, Chuck Lorre & Eric Kaplan & Jeremy Howe, Chuck Lorre & Eric Kaplan & Jeremy Howe,9,24.0,8.0,42.0,32.0,9.0,5.0,23.0,12.272727272727273,2311,7.6
200,201,18,Mark Cendrowski,18.68, Steven Molaro & Eric Kaplan & Adam Faberman, Steven Molaro & Eric Kaplan & Adam Faberman,9,22.0,37.0,34.0,25.0,41.0,24.0,16.0,11.630081300813009,2191,7.6
201,202,19,Mark Cendrowski,17.24, Bill Prady & Eric Kaplan & Maria Ferrari, Bill Prady & Eric Kaplan & Maria Ferrari,9,30.0,23.0,60.0,31.0,19.0,16.0,61.0,10.653992395437262,2113,7.5
202,203,20,Mark Cendrowski,17.5, Chuck Lorre & Dave Goetsch & Tara Hernandez, Chuck Lorre & Dave Goetsch & Tara Hernandez,9,48.0,36.0,39.0,46.0,17.0,28.0,24.0,9.883720930232558,2070,7.5
203,204,21,Mark Cendrowski,17.16, Eric Kaplan & Maria Ferrari & Jeremy Howe, Eric Kaplan & Maria Ferrari & Jeremy Howe,9,26.0,34.0,46.0,58.0,31.0,7.0,18.0,10.936507936507937,2079,7.5
204,205,22,Nikki Lorre,16.13, Steven Molaro & Jim Reynolds & Anthony Del Broccolo, Steven Molaro & Jim Reynolds & Anthony Del Broccolo,9,24.0,31.0,52.0,43.0,29.0,30.0,22.0,10.91814946619217,2020,7.5
205,206,23,Anthony Rich,15.22, Steve Holland & Saladin K. Patterson & Tara Hernandez, Steve Holland & Saladin K. Patterson & Tara Hernandez,9,37.0,14.0,52.0,31.0,8.0,9.0,18.0,12.398373983739837,2030,7.4
206,207,24,Mark Cendrowski,16.73, Steven Molaro & Tara Hernandez & Adam Faberman, Steven Molaro & Tara Hernandez & Adam Faberman,9,39.0,25.0,26.0,43.0,18.0,12.0,19.0,9.866197183098592,2334,7.8
